,hero1,hero2
5115,"YIN, ANGELA",SPIDER-MAN/PETER PAR
5116,SUNDER,MAGIK/ILLYANA RASPUT
5117,HELIX/RAFAEL CARAGO,GEE/ALEX POWER
5118,QUICKSILVER/PIETRO M,JUGGERNAUT/CAIN MARK
5119,PUDDLEGULP,MAGMA/AMARA AQUILLA/
5120,WONDER MAN/SIMON WIL,SPIDER-MAN/PETER PAR
5121,DEVIL-SLAYER/ERIC SI,MIKHLO
5122,"LENO, JAY",ARCHAEOPTERYX/TONAJA
5123,WOLVERINE/LOGAN ,THING/BENJAMIN J. GR
5124,MAGNETO/MAGNUS/ERIC ,"REAGAN, RONALD"
5125,DIGGER,NEEDLE
5126,"COUNT NEFARIA, LUCHI","CARTER, SHARON"
5127,POLARIS/LORNA DANE,STORM/ORORO MUNROE S
5128,SHATTERSTAR II/GAVEE,"SUMMERS, NATHAN CHRI"
5129,"COHEN, IZZY","RALSTON, SENATOR ROB"
5130,MOCKINGBIRD/DR. BARB,"FURY, COL. NICHOLAS "
5131,"TILBY, TRISH/PATRICI",APOCALYPSE/EN SABAH 
5132,BEAUTIFUL DREAMER,SCALPHUNTER
5133,STINGRAY/DR. WALTER ,JUSTICE II/VANCE AST
5134,FORGOTTEN ONE/GILGAM,CAPTAIN AMERICA
5135,"WATSON, ANNA","WATSON-PARKER, MARY "
5136,"BENTLEY, VICTORIA",ANCIENT ONE
5137,REDWING,"CARTER, SHARON"
5138,PSYLOCKE/ELISABETH B,ORACLE/LADY SIBYL
5139,X-CUTIONER/CARL DENT,NEW SUN
5140,CH'OD,GLADIATOR II
5141,PALADIN/PAUL DENNIS,"PETROVITCH, DMITRI"
5142,"LEE, STAN","KIRBY, JACK"
5143,NAMORITA/NITA PRENTI,SPIDER-MAN/PETER PAR
5144,HERCULES [GREEK GOD],QUASAR III/WENDELL V
5145,TRUTH II,RIGHT
5146,FAMINE/AUTUMN ROLFSO,SKIDS/SALLY BLEVINS
5147,SHAPE,WARLOCK II/ADAM WARL
5148,CAPTAIN AMERICA,RED GUARDIAN V
5149,ARRANGER/,"CASSADA, ROBERTO"
5150,"LUBENSKI, NATE","TOWER, BLAKE"
5151,"ROBERTSON, JOE",ANNIHILUS
5152,"ROSS, GEN. THADDEUS ",HULK/DR. ROBERT BRUC
5153,ANT-MAN/DR. HENRY J.,SCARLET WITCH/WANDA 
5154,HATE-MONGER IV,KRISTOFF/KRISTOFF VE
5155,ELECTRO/MAX DILLON,MASTER ZEI
5156,DESTROYER III,PERRIKUS
5157,SABRA/RUTH BAT-SERAP,IRON FIST/DANIEL RAN
5158,"MASTERS, ALICIA REIS",THING/BENJAMIN J. GR
5159,PSYLOCKE/ELISABETH B,SHADOW KING/AMAHL FA
5160,"LEEDS, BETTY BRANT",MYSTERIO II/DANIEL B
5161,MARVEL GIRL/JEAN GRE,ICEMAN/ROBERT BOBBY 
5162,ANDWELLA,MARVEL BOY VI
5163,HUMAN TORCH ANDROID/,MISS AMERICA/MADELIN
5164,PUCK/EUGENE MILTON J,ROGUE /
5165,"JONES, RICHARD MILHO",HULK/DR. ROBERT BRUC
5166,BANSHEE/SEAN CASSIDY,CHAMBER/JONOTHON STA
5167,"JAMESON, J. JONAH","ROBERTSON, JOE"
5168,"JAMESON, J. JONAH","OSBORN, HARRY"
5169,JUBILEE/JUBILATION L,HUSK/PAIGE GUTHRIE
5170,"HUDSON, HEATHER",TECH-NOIR/
5171,PSYLOCKE/ELISABETH B,MANIKIN/DR. WHITMAN 
5172,SPIDER-MAN/PETER PAR,COLOSSUS II/PETER RA
5173,SHATTERSTAR II/GAVEE,MASQUE
5174,BLACK CAT/FELICIA HA,"OSBORN, LIZ ALLAN"
5175,RAGE/ELVIN DARYL HAL,FIRESTAR/ANGELICA JO
5176,THING/BENJAMIN J. GR,HUMAN TORCH/JOHNNY S
5177,VARUA/MIRA,CADUCEUS
5178,THOR/DR. DONALD BLAK,SPIDER-MAN/PETER PAR
5179,"FREEMAN, DUANE JEROM",WHIRLWIND/DAVID CANN
5180,GAUNT II,SECOND/ALECTO
5181,ZEUS,CAPTAIN AMERICA
5182,INVISIBLE WOMAN/SUE ,CRYSTAL [INHUMAN]
5183,THUNDERBIRD II/JAMES,REIGNFIRE/
5184,STORM/ORORO MUNROE S,"GREY, DR. JOHN"
5185,TRITON,"CROSS, GENEVIEVE"
5186,SILHOUETTE,"GYRICH, HENRY PETER"
5187,ANGEL/WARREN KENNETH,ZELDA
5188,MOONBOY,VANISHER
5189,SILVER SAMURAI/KENYU,"KAISHEK, KIA"
5190,ARIEL II,DEVIL DINOSAUR
5191,IMP/PANDORA DESTINE,WALLOP/WALTER DESTIN
5192,STRONG GUY/GUIDO CAR,CANNONBALL II/SAM GU
5193,ICE-MAN | MUTANT X-V,"DUGAN, DUM DUM | MUT"
5194,CAPTAIN BRITAIN/BRIA,SHADOWCAT/KATHERINE 
5195,LIVING LIGHTNING/MIG,RAGE/ELVIN DARYL HAL
5196,WHIRLWIND/DAVID CANN,PORCUPINE/ALEX GENTR
5197,JOHNSON,HACK/
5198,RINGER/ANTHONY TONY ,SHELLSHOCK/
5199,"MCKEEVER, TINY","OSBORN, LIZ ALLAN"
5200,NIGHTCRAWLER/KURT WA,WIDGET
5201,SUPERCHARGER/,JOLT/HALLIE TAKAHAMA
5202,LOBO,SCARLET WITCH/WANDA 
5203,THERMO II/,MAELSTROM/MALCOLM ST
5204,"GRANT, GLORIA GLORY","JAMESON, J. JONAH"
5205,MELLENCAMP,GAMBIT/REMY LEBEAU 
5206,DAREDEVIL DOPPELGANG,HUMAN TORCH/JOHNNY S
5207,"WILSON, JIM",HULK/DR. ROBERT BRUC
5208,FERAL/MARIA CALLASAN,BOOMER/TABITHA SMITH
5209,HAYWIRE/,SHAPE
5210,HAWK,GROK
5211,QUICKSILVER/PIETRO M,HAWK
5212,WONDER MAN/SIMON WIL,JUSTICE II/VANCE AST
5213,ANT-MAN/DR. HENRY J.,WASP/JANET VAN DYNE 
5214,"JAMESON, J. JONAH","PARKER, MAY"
5215,RADIOACTIVE MAN/DR. ,MOONDRAGON/HEATHER D
5216,BLACK KNIGHT V/DANE ,CYCLOPS DOPPELGANGER
5217,GAMBIT/REMY LEBEAU ,FORGE
5218,MR. FANTASTIC/REED R,"POWELL, GRACE"
5219,BLUE SHIELD/JOSEPH J,SHE-HULK/JENNIFER WA
5220,THING/BENJAMIN J. GR,"MASTERS, ALICIA REIS"
5221,"CASSADA, MICHAEL",SPIDER-MAN/PETER PAR
5222,VERTIGO II,"GREY, ELAINE"
5223,"GLENN, HEATHER","NELSON, FRANKLIN FOG"
5224,WARLOCK III,THOR/DR. DONALD BLAK
5225,SUNFIRE/SHIRO YOSHID,JACK OF HEARTS/JACK 
5226,HUMAN TORCH/JOHNNY S,"RICHARDS, FRANKLIN B"
5227,MOONSTONE II/KARLA S,INVISIBLE WOMAN/SUE 
5228,"LEEDS, NED",ARRANGER/
5229,BLACK PANTHER/T'CHAL,VISION 
5230,ICEMAN/ROBERT BOBBY ,ANGEL/WARREN KENNETH
5231,WOLVERINE/LOGAN ,ROGUE /
5232,TARGON,INVISIBLE WOMAN/SUE 
5233,VISION ,IRON MAN/TONY STARK 
5234,SUNFIRE/SHIRO YOSHID,DEVIL-SLAYER/ERIC SI
5235,MAA-GOR,ICEMAN/ROBERT BOBBY 
5236,HELLCAT/PATSY WALKER,THING/BENJAMIN J. GR
5237,BETTY-6,KASPIN
5238,GIBBON/MARTIN BLANK,"ROBERTSON, JOE"
5239,QIRMET,UNIT 101101
5240,BLACK KNIGHT V/DANE ,ULTRON
5241,VAPOR,WHIZZER III/JAMES SA
5242,WOLFSBANE/RAHNE SINC,THUNDERSTRIKE/ERIC K
5243,STARFOX/EROS,"JONES, RICHARD MILHO"
5244,"COLLINS, DEMITRIUS",BALDER [ASGARDIAN]
5245,ICE PRINCESS/,IMPALA/
5246,BULLET,"URICH, BEN"
5247,"RICHARDS, FRANKLIN B",DR. DRUID/ANTHONY LU
5248,MOCKINGBIRD/DR. BARB,ANGAR THE SCREAMER/D
5249,"LUMPKIN, WILLIAM WIL","OSBORN, LIZ ALLAN"
5250,BOOMERANG/FRED MYERS,CANNONBALL/JACK PULV
5251,"NORRISS, SISTER BARB",WONG
5252,VULTURE/ADRIAN TOOME,ELECTRO/MAX DILLON
5253,COLOSSUS II/PETER RA,MAGNETO/MAGNUS/ERIC 
5254,"LEWIS, SHIRLEY WASHI","STACY, ARTHUR"
5255,X-MAN/NATHAN GREY ,URCHALLA
5256,"TILBY, TRISH/PATRICI",MAGNETO/MAGNUS/ERIC 
5257,THING/BENJAMIN J. GR,SHE-HULK/JENNIFER WA
5258,TALISMAN,SHE-HULK/JENNIFER WA
5259,THING/BENJAMIN J. GR,HUMAN TORCH/JOHNNY S
5260,CHAMBER/JONOTHON STA,GAIA
5261,MALICE V/NAKIA,WHITE WOLF/HUNTER
5262,GHOST RIDER III/DAN ,GHOST RIDER II/JOHNN
5263,GUARDIAN/JAMES MACDO,SHAMAN/MICHAEL TWOYO
5264,SLEEPWALKER,DR. STRANGE/STEPHEN 
5265,LEADER/SAM STERNS,HERCULES [GREEK GOD]
5266,CAPTAIN AMERICA,IRON MAN/TONY STARK 
5267,RICTOR/JULIO ESTEBAN,BEAST/HENRY &HANK& P
5268,"CAGE, LUKE/CARL LUCA",VECTOR
5269,"NORTH, DAKOTA",IRON FIST/DANIEL RAN
5270,QUICKSILVER/PIETRO M,POLARIS/LORNA DANE
5271,LEAP-FROG/VINCENT PA,IRON FIST/DANIEL RAN
5272,SCARLET WITCH/WANDA ,VISION 
5273,SHAMAN/MICHAEL TWOYO,X-RAY
5274,MR. FANTASTIC/REED R,DR. DOOM/VICTOR VON 
5275,INVISIBLE WOMAN/SUE ,MARVEL GIRL/JEAN GRE
5276,SILVER SURFER/NORRIN,THOR/DR. DONALD BLAK
5277,CAPTAIN BRITAIN/BRIA,ROMA
5278,"LANDERS, GENA","LANDERS, RAY"
5279,MR. FANTASTIC/REED R,MYSTERIO/QUENTIN BEC
5280,HYPERION,EON
5281,HOGUN [ASGARDIAN],THOR/DR. DONALD BLAK
5282,TIMBERIUS,LEONUS/LIONUS [INHUM
5283,SUPER SKRULL/KL'RT,"JONES, RICHARD MILHO"
5284,BEAST/HENRY &HANK& P,LIVING MONOLITH/AHME
5285,GAMORA,HERCULES [GREEK GOD]
5286,BISHOP /,GAMBIT/REMY LEBEAU 
5287,"WATSON-PARKER, MARY ","HOLKAR, DR. SHYAM"
5288,"THOMPSON, EUGENE FLA","LEEDS, BETTY BRANT"
5289,SHADOWCAT/KATHERINE ,KYMRI
5290,SASQUATCH/WALTER LAN,HULK/DR. ROBERT BRUC
5291,NIGHTCRAWLER/KURT WA,IRON MAN IV/JAMES R.
5292,"FRIEDLANDER, SHARON","CORSI, TOM"
5293,COBALT,CITIZEN V II/HELMUT 
5294,"GRANT, GLORIA GLORY","CUSHING, KATE"
5295,"SIMON, ALEX FLORES",THING/BENJAMIN J. GR
5296,CYPHER/DOUG RAMSEY,MEPHISTO
5297,SHADOWCAT/KATHERINE ,AURORA/JEANNE-MARIE 
5298,VOLCANA/MARSHA ROSEN,STORM/ORORO MUNROE S
5299,LIVING LASER/ARTHUR ,BEAST/HENRY &HANK& P
5300,STORM/ORORO MUNROE S,PROFESSOR X/CHARLES 
5301,"GATOR, LORD","VERMIN, LADY"
5302,KARKAS [DEVIANT],WASP/JANET VAN DYNE 
5303,CALIBAN/,MARVEL GIRL/JEAN GRE
5304,SABRETOOTH/VICTOR CR,"ROYCE, JENNIE"
5305,"THOMPSON, EUGENE FLA",MOTHER INFERIOR
5306,HUSSAR,SMASHER IV
5307,WOLVERINE/LOGAN ,TYGER TIGER/JESSAN H
5308,"PARKER, MAY",SPIDER-MAN CLONE/BEN
5309,NIGHTHAWK II/KYLE RI,DR. STRANGE/STEPHEN 
5310,VISION ,"LUBENSKI, NATE"
5311,"PO, KIM",VIBRAXAS/N'KANO
5312,SASQUATCH II,"CLARKE, GENERAL JERE"
5313,WASP/JANET VAN DYNE ,"REAGAN, RONALD"
5314,ROCKETLAUNCHER/,MADAME MASQUE/GIULIE
5315,BOOMER/TABITHA SMITH,CANNONBALL II/SAM GU
5316,"QUARTERMAIN, CLAY","KOENIG, ERIC"
5317,BALDER [ASGARDIAN],THOR/DR. DONALD BLAK
5318,"ROM, SPACEKNIGHT",WATER WITCH/
5319,"PARKER, MAY","PAGE, KAREN"
5320,"WEISS, KONRAD KONNIE",BULLSEYE II/BENJAMIN
5321,DEATH ADDER,SUB-MARINER/NAMOR MA
5322,HUMAN TORCH/JOHNNY S,INVISIBLE WOMAN/SUE 
5323,CLOAK/TYRONE JOHNSON,BLACK CAT/FELICIA HA
5324,PUNISHER II/FRANK CA,KICKBACK/RICHARD
5325,"JONES, RICHARD MILHO",ICEMAN/ROBERT BOBBY 
5326,DR. DOOM/VICTOR VON ,WRECKER III/DIRK GAR
5327,HAWK,BULLDOZER/HENRY CAMP
5328,FALCON/SAM WILSON,CAPTAIN AMERICA
5329,ROCK/SAMUEL JOHN ROC,"BANNER, BETTY ROSS T"
5330,"HUDSON, HEATHER",ANGEL/WARREN KENNETH
5331,SPIDER-MAN/PETER PAR,MR. FEAR IV/ALAN FAG
5332,"TARR, BLACK JACK","WU, LEIKO"
5333,DOLMAN,"FRANKLIN, JEREMY"
5334,MACHINE MAN/X-51,"JACKSON, CURTISS"
5335,TECH-NOIR/,STRONGARM/
5336,NEKRA/ADRIENNE HATRO,ANGAR THE SCREAMER/D
5337,BIG MAN/FREDERICK FO,"LEEDS, NED"
5338,"FROST, CARMILLA",HAWK
5339,MISS AMERICA/MADELIN,PATRIOT/JEFF MACE
5340,HAFNIUM,INDIUM
5341,"BROGIN, BULL","PHILLIPS, HANDSOME H"
5342,MAGUS II,MAGIK/ILLYANA RASPUT
5343,DARKHAWK/CHRIS POWEL,DRAX/ARTHUR DOUGLAS
5344,SPIRAL,KARMA/XI'AN COY MANH
5345,POLARIS/LORNA DANE,PHOENIX II
5346,SPIDER-MAN/PETER PAR,FU MANCHU
5347,THING/BENJAMIN J. GR,GHOST RIDER III/DAN 
5348,"WATSON-PARKER, MARY ","OSBORN, LIZ ALLAN"
5349,PROFESSOR X/CHARLES ,KAMAL
5350,"ROBERTSON, JOE","JAMESON, J. JONAH"
5351,SIF,LOGA II
5352,SCARLET WITCH/WANDA ,ROGUE /
5353,COLOSSUS II/PETER RA,LADY DEATHSTRIKE/YUR
5354,THANOS,SCARLET WITCH/WANDA 
5355,ARCANNA/ARCANNA JONE,DR. SPECTRUM/JOSEPH 
5356,DR. OCTOPUS/OTTO OCT,WRECKER III/DIRK GAR
5357,WARHAWK II,"CAGE, LUKE/CARL LUCA"
5358,"HSU, CHEN",IRON MAN/TONY STARK 
5359,CAPTAIN AMERICA,INVISIBLE WOMAN/SUE 
5360,"TREMONT, JONATHAN",SILVERCLAW/LA GARRA 
5361,WARLOCK III,FIREFIST/RUSTY COLLI
5362,MAXIMUS [INHUMAN],CRYSTAL [INHUMAN]
5363,BLACK KNIGHT V/DANE ,SCARLET WITCH/WANDA 
5364,PROFESSOR X/CHARLES ,BLACK PANTHER/T'CHAL
5365,"WATSON, KEVIN","PARKER, MAY"
5366,NOMAD III/JACK MONRO,DEMOLITION MAN/DENNI
5367,SABRETOOTH/VICTOR CR,FORGE
5368,SPIDER-WOMAN II/JULI,KISMET/J'RIDIA STARD
5369,AJAK/TECUMOTZIN [ETE,IRON MAN IV/JAMES R.
5370,BERNARD THE POET,BEAST/HENRY &HANK& P
5371,INVISIBLE WOMAN/SUE ,HUMAN TORCH/JOHNNY S
5372,THUNDERBIRD II/JAMES,CYPHER/DOUG RAMSEY
5373,BOOBYTRAP/,"SHEFFIELD, LEAH"
5374,THING/BENJAMIN J. GR,DR. DOOM/VICTOR VON 
5375,MOONDRAGON/HEATHER D,MOON KNIGHT/MARC SPE
5376,MISS AMERICA/MADELIN,MISS AMERICA/MADELIN
5377,WRECKER III/DIRK GAR,DR. DOOM/VICTOR VON 
5378,GAMBIT/REMY LEBEAU ,WONDER MAN DOPPELGAN
5379,HUMAN TORCH/JOHNNY S,PORCAL
5380,"REESE, MURRAY",CALLISTO
5381,FACE/COL. EISEN,CAPTAIN AMERICA
5382,ARIA,COLLECTOR/TANELEER T
5383,DR. DOOM/VICTOR VON ,LONGSHOT
5384,MEGGAN,"CAMPBELL, DR. RORY"
5385,MARILLA [INHUMAN],MAM'SELLE HEPZIBAH
5386,JUBILEE/JUBILATION L,SKIN/ANGELO ESPINOSA
5387,VISION ,"MACLAIN, DR. MYRON"
5388,"MARTIN, ASHLEY",HAVOK/ALEX SUMMERS 
5389,STILETTO,IRON FIST/DANIEL RAN
5390,QUASAR III/WENDELL V,SERSI/SYLVIA
5391,PUPPET MASTER/PHILLI,INVISIBLE WOMAN/SUE 
5392,DR. OCTOPUS/OTTO OCT,"ROBERTSON, JOE"
5393,"JONES, RICHARD MILHO",MOLE MAN/HARVEY RUPE
5394,"KARIM, MERYET",FIRESTAR/ANGELICA JO
5395,FALZON,CRYSTAL [INHUMAN]
5396,HERCULES [GREEK GOD],ULTIMO
5397,LILANDRA NERAMANI [S,CYCLOPS/SCOTT SUMMER
5398,KRISTOFF/KRISTOFF VE,DR. DOOM/VICTOR VON 
5399,SCARLET WITCH/WANDA ,"CARPENTER, LARRY"
5400,BLAQUESMITH,MR. SINISTER/NATHAN 
5401,"JAMESON, J. JONAH",CYCLOPS/SCOTT SUMMER
5402,PIPER,CYCLOPS/SCOTT SUMMER
5403,ICEMAN DOPPELGANGER,GALACTUS/GALAN
5404,"PLUNDER, ADAM KYLE M",THANOS
5405,"MADDICKS, ARTHUR ART",SYNCH/EVERETT THOMAS
5406,"PIERCE, DONALD",BONEBREAKER/
5407,"ROBERTSON, JOE","ROBERTSON, AMANDA"
5408,NUADA,FANDRAL [ASGARDIAN]
5409,THOR/DR. DONALD BLAK,VIZIER
5410,TEMPUS,RAVONNA LEXUS RENSLA
5411,"JAMESON, COL. JOHN ","STACY, JILL"
5412,"JONES, GABE",WOLVERINE/LOGAN 
5413,CYPHER/DOUG RAMSEY,BANSHEE/SEAN CASSIDY
5414,ODIN [ASGARDIAN],THOR/DR. DONALD BLAK
5415,SHOCKER/HERMAN SCHUL,IMPOSSIBLE MAN
5416,"PARKER, MAY","PARKER, MARY"
5417,"FURY, COL. NICHOLAS ","CARTER, BRAD"
5418,RED GUARDIAN V,JACK OF HEARTS/JACK 
5419,SWORDSMAN III/PHILIP,ANT-MAN/DR. HENRY J.
5420,CHONDU,NAMORITA/NITA PRENTI
5421,VOLSTAGG,"SUMMERS, NATHAN CHRI"
5422,"JONES, RICHARD MILHO",PROMETHEUS II
5423,GROVEL,ROGUE /
5424,"WOLFE, SARA",URTHONA
5425,MR. FANTASTIC/REED R,"JAMESON, J. JONAH"
5426,"STONE, LT. MARCUS",SHATTERSTAR II/GAVEE
5427,GAMBIT/REMY LEBEAU ,"RICHARDS, FRANKLIN B"
5428,"SOUTHERN, CANDY",HAVOK/ALEX SUMMERS 
5429,SPIDER-MAN/PETER PAR,"MCKEEVER, TINY"
5430,"SITWELL, JASPER",WASP/JANET VAN DYNE 
5431,QUICKSILVER/PIETRO M,LOCKJAW [INHUMAN]
5432,ROGUE /,MELLENCAMP
5433,KINGPIN/WILSON FISK,"WATSON-PARKER, MARY "
5434,WIBBOW,GLADIATOR II
5435,"WAGNER, ERNIE WHACK ",KRUEL/VICTOR KRUELLE
5436,DR. STRANGE/STEPHEN ,CHONDU
5437,"KINCAID, DR. JANE FO",LOKI [ASGARDIAN]
5438,WOLVERINE/LOGAN ,ROGUE /
5439,WONDER MAN/SIMON WIL,VISION 
5440,VISION ,BEAST/HENRY &HANK& P
5441,"JONES, MARLO CHANDLE",ATALANTA
5442,OUTLAW/NIGEL HIGGINS,RAPIDO
5443,HELLSTORM/DAIMON HEL,"CAGE, LUKE/CARL LUCA"
5444,"NELSON, FRANKLIN FOG","GRAZIA, VINCENT VINN"
5445,BOMBSHELL/,DANSEN MACABRE
5446,"STANE, OBADIAH",THENA
5447,MARVEL GIRL/JEAN GRE,MOON KNIGHT/MARC SPE
5448,DARKHAWK/CHRIS POWEL,"RUIZ, RIGGER"
5449,MANDRILL/HENSLEY FAR,SUB-MARINER/NAMOR MA
5450,BLACK PANTHER/T'CHAL,DAREDEVIL/MATT MURDO
5451,STRANGER,"RICHARDS, FRANKLIN B"
5452,WILD CHILD/KYLE GIBN,UATU
5453,ELEJEA,"STALYENKO, COL. YURI"
5454,MARVEL GIRL/JEAN GRE,ICEMAN/ROBERT BOBBY 
5455,"MACTAGGERT, MOIRA KI",WOLVERINE/LOGAN 
5456,COMBAT/,ROC/
5457,SCARLET WITCH/WANDA ,MR. FANTASTIC/REED R
5458,WOLVERINE/LOGAN ,WASP/JANET VAN DYNE 
5459,PSYLOCKE/ELISABETH B,STRONG GUY/GUIDO CAR
5460,TOTEM,DARCO
5461,SPHINX,MEDUSA/MEDUSALITH AM
5462,MARVEL GIRL/JEAN GRE,FROG MAN/FROG LE BLA
5463,SIDEWINDER/SETH VOEL,SCOURGE
5464,MOLECULE MAN/OWEN RE,DEVOS THE DEVESTATOR
5465,SAURON/DR. KARL LYKO,"SUMMERS, NATHAN CHRI"
5466,"LEEDS, BETTY BRANT","ROBERTSON, JOE"
5467,GRONK,CAPTAIN MARVEL/CAPTA
5468,WONG,"DE LA FONTAINE, CONT"
5469,FIXX,HAVOK/ALEX SUMMERS 
5470,"KNIGHT, MISTY","TOWER, BLAKE"
5471,ARES [GREEK GOD],HERCULES [GREEK GOD]
5472,SPIDER-MAN/PETER PAR,"WATSON-PARKER, MARY "
5473,MROTH,HEIMDALL [ASGARDIAN]
5474,HAVOK/ALEX SUMMERS ,MARVEL GIRL/JEAN GRE
5475,MARX,HUNCH
5476,THING/BENJAMIN J. GR,GHAUR [DEVIANT]
5477,SUNSPOT/ROBERTO DACO,HAVOK/ALEX SUMMERS 
5478,"BANNER, BETTY ROSS T",MR. FANTASTIC/REED R
5479,"DOLAN, CAPT. THOMAS",GHOST RIDER II/JOHNN
5480,HAVOK/ALEX SUMMERS ,"RICHARDS, FRANKLIN B"
5481,THOR/DR. DONALD BLAK,CRYSTAL [INHUMAN]
5482,MR. SINISTER/NATHAN ,WOLVERINE/LOGAN 
5483,MARVEL GIRL/JEAN GRE,RICTOR/JULIO ESTEBAN
5484,QUASAR III/WENDELL V,SASQUATCH/WALTER LAN
5485,"WISDOM, PETER",NIGHTMARE/EDVARD HAB
5486,FROH,TORO/TOM RAYMOND
5487,VAPOR,X-RAY
5488,"TREMONT, JONATHAN",TASKMASTER
5489,APE/,COUNTERWEIGHT/JACK P
5490,RICTOR/JULIO ESTEBAN,FIREFIST/RUSTY COLLI
5491,STINGER III/,DESTINY II/IRENE ADL
5492,"HADDOCK, DR. MYRA",FLEX/ADRIAN CORBO
5493,TAI II,NAMORITA/NITA PRENTI
5494,NIGHTSHADE/TILDA,DRAGONFLY/VERONICA D
5495,"RICHARDS, FRANKLIN B",TYRANNUS
5496,SPIDER-MAN CLONE/BEN,HUMAN TORCH/JOHNNY S
5497,WHIZZER II/STANLEY S,GOLDEN ARCHER II/WYA
5498,BLACK PANTHER/T'CHAL,TURBO II (A)/MICHIKO
5499,SPARK,COLOSSUS II/PETER RA
5500,"FREEMAN, DEREK","SAXON, STARR"
5501,SKIN/ANGELO ESPINOSA,EMPLATE/MARIUS ST. C
5502,"JARVIS, EDWIN ",SCARLET WITCH/WANDA 
5503,EPOCH,"BALLANTINE, DEVON"
5504,DINAH-SOAR,QUASAR III/WENDELL V
5505,ARCLIGHT/PHILLIPA SO,DAZZLER II/ALLISON B
5506,ANT-MAN/DR. HENRY J.,LIVING LASER/ARTHUR 
5507,THANOS DOPPELGANGER,HAVOK/ALEX SUMMERS 
5508,"RICHARDS, FRANKLIN B",THING/BENJAMIN J. GR
5509,MOON KNIGHT DOPPELGA,POLARIS/LORNA DANE
5510,KLAW/ULYSSES KLAW,ARON [WATCHER]
5511,COPPERHEAD III/DAVIS,BLACK MAMBA/TANYA SE
5512,"JONES, RICHARD MILHO",TRAPSTER/PETER PETRU
5513,"WATSON-PARKER, MARY ",STYX/JACOB EICHORN
5514,THOR/DR. DONALD BLAK,GALACTUS/GALAN
5515,"WATSON-PARKER, MARY ",SPIDER-MAN/PETER PAR
5516,CAPTAIN AMERICA,SCARLET WITCH/WANDA 
5517,WOLVERINE/LOGAN ,MAM'SELLE HEPZIBAH
5518,FAMINE/AUTUMN ROLFSO,SKIDS/SALLY BLEVINS
5519,THING/BENJAMIN J. GR,CAPTAIN MARVEL II/MO
5520,SHE-HULK/JENNIFER WA,ZARATHUSTRA
5521,THANOS,TERRAX
5522,SABRA/RUTH BAT-SERAP,SILVER SURFER/NORRIN
5523,"DIAMOND, BOB","SHINCHUKO, LOTUS"
5524,MASTER ORDER,IRON MAN/TONY STARK 
5525,LADY DEATHSTRIKE/YUR,SABRETOOTH/VICTOR CR
5526,SCARLET WITCH/WANDA ,CENTURY
5527,BLACK WIDOW/NATASHA ,"DENNIS, MARTY"
5528,POUNDCAKES/MARIAN PO,"COOPER, DR. VALERIE"
5529,DAZZLER/BURTRAM WORT,MARVEL GIRL/JEAN GRE
5530,CITIZEN V III/DALLAS,SCREAMING MIMI/MELIS
5531,QUASAR III/WENDELL V,SHE-HULK/JENNIFER WA
5532,FRIGGA,SNAGG
5533,SPUNJE,"MOWAT, FARLEY"
5534,SCREAMING MIMI/MELIS,MOONSTONE II/KARLA S
5535,PUCK/EUGENE MILTON J,DIAMOND LIL/LILLIAN 
5536,GAMBIT/REMY LEBEAU ,WOLVERINE/LOGAN 
5537,COUNTERWEIGHT II/KAT,COUNTERWEIGHT/JACK P
5538,DADDY LONGLEGS/RAMSE,SPIDER-WOMAN/JESSICA
5539,BEAST/HENRY &HANK& P,BLUE STREAK/
5540,BLACK TALON II/SAMUE,SHE-HULK/JENNIFER WA
5541,CRUSADER II/ARTHUR B,FANDRAL [ASGARDIAN]
5542,GAMBIT DOPPELGANGER,MULTIPLE MAN/JAMES A
5543,MULTIPLE MAN/JAMES A,STRONG GUY DOPPELGAN
5544,"BALE, EMERSON","DEWOLFF, JEAN"
5545,BANSHEE/SEAN CASSIDY,COLOSSUS II/PETER RA
5546,RISQUE/GLORIA,CANNONBALL II/SAM GU
5547,MYSTIQUE/RAVEN DARKH,DESTINY II/IRENE ADL
5548,IRON MAN/TONY STARK ,WASP/JANET VAN DYNE 
5549,"JAMESON, J. JONAH","OSBORN, NORMIE"
5550,BRUTUS,VISION 
5551,ATTUMA,ANDROMEDA/ANDROMEDA 
5552,GOBLYN,NORTHSTAR/JEAN-PAUL 
5553,RED GUARDIAN III/DR.,SHE-HULK/JENNIFER WA
5554,STORM/ORORO MUNROE S,DAZZLER II/ALLISON B
5555,"SCICLUNA, MICHELE",MOUNTJOY
5556,PATHWAY/LAURA DEAN,PERSUASION/KARA KILL
5557,SUNFIRE/SHIRO YOSHID,WOLVERINE/LOGAN 
5558,NIGHTCRAWLER/KURT WA,BANSHEE/SEAN CASSIDY
5559,PHOENIX III/RACHEL S,KYLUN/COLIN MCKAY
5560,"HUDSON, HEATHER",BOX IV/MADISON JEFFR
5561,ELSIE DEE,MASQUE
5562,HYPERION II,DR. DRUID/ANTHONY LU
5563,"LEEDS, BETTY BRANT","THOMPSON, EUGENE FLA"
5564,SPIDER-MAN III/MARTH,GREEN GOBLIN/NORMAN 
5565,ELSIE DEE,PLASMA WRAITH
5566,"WATSON, ANNA",BUEL
5567,POLARIS/LORNA DANE,"SHARP, TRINA"
5568,DR. DRUID/ANTHONY LU,GAEA
